Survived,Pclass,Sex_encoded,Age,SibSp,Parch,Fare
0,3,0,22.0,1,0,7.25
1,1,1,38.0,1,0,71.2833
1,3,1,26.0,0,0,7.925
1,1,1,35.0,1,0,53.1
0,3,0,35.0,0,0,8.05
0,3,0,,0,0,8.4583
0,1,0,54.0,0,0,51.8625
0,3,0,2.0,3,1,21.075
1,3,1,27.0,0,2,11.1333
1,2,1,14.0,1,0,30.0708
1,3,1,4.0,1,1,16.7
1,1,1,58.0,0,0,26.55
0,3,0,20.0,0,0,8.05
0,3,0,39.0,1,5,31.275
0,3,1,14.0,0,0,7.8542
1,2,1,55.0,0,0,16.0
0,3,0,2.0,4,1,29.125
1,2,0,,0,0,13.0
0,3,1,31.0,1,0,18.0
1,3,1,,0,0,7.225
0,2,0,35.0,0,0,26.0
1,2,0,34.0,0,0,13.0
1,3,1,15.0,0,0,8.0292
1,1,0,28.0,0,0,35.5
0,3,1,8.0,3,1,21.075
1,3,1,38.0,1,5,31.3875
0,3,0,,0,0,7.225
0,1,0,19.0,3,2,263.0
1,3,1,,0,0,7.8792
0,3,0,,0,0,7.8958
0,1,0,40.0,0,0,27.7208
1,1,1,,1,0,146.5208
1,3,1,,0,0,7.75
1,2,1,3.0,1,2,41.5792
0,1,0,18.0,1,0,108.9
0,3,0,21.0,0,0,7.8
1,2,1,42.0,1,0,27.0
1,1,0,30.0,0,0,45.5
0,3,0,25.0,1,0,7.05
1,1,1,45.0,1,1,134.5
0,2,0,29.0,1,0,21.0
0,3,0,17.0,0,0,8.6625
1,1,1,19.0,0,0,91.0792
0,3,0,28.0,0,0,7.8958
1,1,1,24.0,0,1,83.1583
0,3,0,33.0,0,0,7.8958
1,3,0,4.0,0,2,13.4167
0,2,1,28.0,0,0,13.0
0,3,1,18.0,0,1,14.4542
1,1,0,49.0,1,0,76.7292
